id,source,stack,who_knows_them,public_work_found,has_audience,status,invited_on
M01,conference speaker,React,nobody yet,yes,no,not contacted,
M02,OSS maintainer,TypeScript,founder B,partly,yes,not contacted,
M03,community Slack answers,TypeScript/React,nobody yet,yes,yes,not contacted,
M04,OSS maintainer,React,nobody yet,partly,unknown,not contacted,
M05,Brave Courses instructor,Python/AI agents,nobody yet,not checked,unknown,not contacted,
M06,tech Twitter,Python,founder B,yes,unknown,not contacted,
M07,LinkedIn posts,TypeScript,nobody yet,yes,unknown,not contacted,
M08,meetup speaker,React,founder A,yes,no,not contacted,
M09,tech Twitter,AI agents,nobody yet,not checked,unknown,not contacted,
M10,OSS maintainer,Python,nobody yet,not checked,unknown,not contacted,
M11,community Slack answers,AI agents,both,yes,no,not contacted,
M12,conference speaker,TypeScript,founder A,yes,no,not contacted,
M13,OSS maintainer,TypeScript/React,nobody yet,not checked,yes,not contacted,
M14,LinkedIn posts,TypeScript,founder A,yes,yes,not contacted,
M15,community Slack answers,Python,nobody yet,yes,yes,not contacted,
M16,OSS maintainer,Python,founder B,yes,unknown,not contacted,
M17,conference speaker,Python,founder B,partly,yes,not contacted,
M18,meetup speaker,AI agents,founder A,yes,no,not contacted,
M19,tech Twitter,Python,both,yes,no,not contacted,
M20,OSS maintainer,TypeScript,founder A,yes,yes,not contacted,
M21,community Slack answers,React,nobody yet,not checked,yes,not contacted,
M22,conference speaker,React,nobody yet,not checked,unknown,not contacted,
M23,community Slack answers,Python,founder B,yes,yes,not contacted,
M24,community Slack answers,AI agents,nobody yet,yes,no,not contacted,
M25,community Slack answers,Python,nobody yet,yes,yes,not contacted,
M26,community Slack answers,TypeScript/React,nobody yet,yes,unknown,not contacted,
M27,community Slack answers,Python,founder A,yes,no,not contacted,
M28,conference speaker,React,nobody yet,yes,unknown,not contacted,
M29,Brave Courses instructor,AI agents,nobody yet,yes,unknown,not contacted,
M30,community Slack answers,AI agents,founder A,yes,yes,not contacted,
M31,meetup speaker,TypeScript,founder B,not checked,unknown,not contacted,
M32,tech Twitter,Python/AI agents,both,partly,unknown,not contacted,
M33,conference speaker,Python,founder A,not checked,no,not contacted,
M34,Discord answers,React,nobody yet,yes,unknown,not contacted,
M35,tech Twitter,Python/AI agents,nobody yet,not checked,yes,not contacted,
M36,community Slack answers,TypeScript,founder A,yes,yes,not contacted,
M37,LinkedIn posts,Python,founder B,yes,yes,not contacted,
M38,meetup speaker,Python,founder A,not checked,unknown,not contacted,
M39,meetup speaker,AI agents,founder A,yes,unknown,not contacted,
M40,meetup speaker,TypeScript,both,yes,unknown,not contacted,
M41,tech Twitter,Python,nobody yet,partly,yes,not contacted,
M42,OSS maintainer,AI agents,both,yes,unknown,not contacted,
M43,Discord answers,AI agents,founder B,yes,unknown,not contacted,
M44,conference speaker,AI agents,founder A,yes,no,not contacted,
M45,meetup speaker,Python,founder B,yes,no,not contacted,
M46,community Slack answers,TypeScript,nobody yet,partly,unknown,not contacted,
M47,meetup speaker,Python/AI agents,founder B,yes,yes,not contacted,
M48,Discord answers,AI agents,nobody yet,yes,unknown,not contacted,
M49,tech Twitter,TypeScript,founder B,not checked,unknown,not contacted,
M50,community Slack answers,AI agents,founder B,yes,unknown,not contacted,
